COUNTRY;YEAR;DEBT_TOTAL;DEBT_RATIO;NOMINAL_GDP;NOMINAL_GDP_GROWTH;REAL_GDP;REAL_GDP_GROWTH;POTENTIAL_GDP;POTENTIAL_GDP_GROWTH;GDP_DEFLATOR_PCH;EA_GDP_DEFLATOR_PCH;PRIMARY_BALANCE;STRUCTURAL_PRIMARY_BALANCE;FISCAL_BALANCE;STOCK_FLOW;PRIMARY_EXPENDITURE_SHARE;AGEING_COST;PENSION_REVENUE;PENSION_BALANCE;PROPERTY_INCOME;IMPLICIT_INTEREST_RATE;INTEREST_RATE_ST;INTEREST_RATE_LT;EXR_EUR;EXR_USD;ESM_REPAYMENT;BOND_REPAYMENT;DEBT_ST_SHARE;DEBT_LT_MATURING_SHARE;DEBT_LT_MATURING_AVG_SHARE;DEBT_DOMESTIC_SHARE;DEBT_EUR_SHARE;FWD_RATE_3M10Y;FWD_RATE_10Y10Y;FWD_INFL_5Y5Y;BUDGET_BALANCE_ELASTICITY
AUT;0;;;;;;;;;;;;;;;;;;;;;;;;;;;0.064506088;0.108116814;0.103934156;0.998208238;0;2.997576818;3.451352727;2.346309091;0.571
AUT;2023;371.1;77.7671;477.2488;6.715120335;377.40482;-0.828815089;379.2209187;1.035518514;7.606971316;5.975178674;-1.4864679;-1.213;-2.6549109;7.78;50.9599197;27.5667496;2.324300634;;0;1.590104;3.920586803;3.082675;1;1.081268627;;14.04182876;;;;;;;;;
AUT;2024;387.2;77.6939;498.3543;4.422326468;378.5035127;0.291117811;382.3891941;0.835469552;4.119212335;3.088560676;-1.706801;-1.1266;-3.0652172;0.77;51.5382801;28.01191901;2.39784128;;0;1.8240227;4.229018103;2.90164;1;1.071481699;;28.77701744;;;;;;;;;
AUT;2025;404.1;77.7747;519.5779;4.258737208;384.5671987;1.602015797;385.623888;0.845916678;2.614839523;2.108645579;-1.4482168;-1.2918;-2.8944667;1.87;51.1756671;28.34034955;2.434195474;;0;1.9407479;;;1;1.06627;;26.7732667;;;;;;;;;
AUT;2026;;;;;388.7147639;1.078502061;389.4261694;0.986007749;;;;;;;;28.54110215;2.450150258;;0;;;;;;;32.57139;;;;;;;;;
AUT;2027;;;;;392.6307691;1.007423844;392.9897268;0.915079077;;;;;;;;28.77051319;2.469311476;;0;;;;;;;24.84049796;;;;;;;;;
AUT;2028;;;;;396.6321887;1.019130421;396.6321887;0.926859308;;;;;;;;28.89769408;2.475210744;;0;;;;;;;22.056368;;;;;;;;;
AUT;2029;;;;;;;;0.980699209;;;;;;;;28.98387517;2.473198941;;0;;;;;;;18.08984623;;;;;;;;;
AUT;2030;;;;;;;;1.037155523;;;;;;;;29.0799183;2.472321799;;0;;;;;;;14.453748;;;;;;;;;
AUT;2031;;;;;;;;1.09449114;;;;;;;;29.17485283;2.470576416;;0;;;;;;;15.77763648;;;;;;;;;
AUT;2032;;;;;;;;1.15096895;;;;;;;;29.25844636;2.464663037;;0;;;;;;;16.34186705;;;;;;;;;
AUT;2033;;;;;;;;1.204851842;;;;;;;;29.29287816;2.450566148;;0;;;;;;;14.42459633;;;;;;;;;
AUT;2034;;;;;;;;1.254402705;;;;;;;;29.36355038;2.441383469;;0;;;;;;;9.545641909;;;;;;;;;
